# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story / db.remove_story).
StoryId|CanonicalId|Fragment
ST00eabafbce|CN2948f6254b|
ST00eabafbce|CNf9430dadc9|
ST0233382227|CNc0e0175a17|
ST0382d8167e|CN9e7bc6878f|
ST03e7564723|CN4872a2f0f8|
ST03e7564723|CNf9430dadc9|
ST05f79ffa0b|CN080d9cf1ee|
ST05f79ffa0b|CN5fa4b480fe|
ST05f79ffa0b|CN9debd7bf7b|
ST05f79ffa0b|CNb6ec6aa5ed|
ST05f79ffa0b|CNf8bd44ef37|
ST0934df1d14|CN27613a7538|
ST0934df1d14|CN3fb05a163b|
ST0934df1d14|CNf2ce6e465c|
ST0a55089688|CN6a7549d4d5|
ST0b323dee1e|CN7cac1c0104|
ST0b323dee1e|CN8290196468|
ST0b323dee1e|CN8e90acf753|
ST0b323dee1e|CN925a43d42d|
ST0b323dee1e|CN9e7e17ea4a|
ST0b323dee1e|CNb6ce517916|
ST0b323dee1e|CNc0e0175a17|
ST0c78c57e64|CN7ecb66603a|
ST0d81b8848e|CN121e052239|
ST0d81b8848e|CNe4597f9ec7|
ST0d81b8848e|CNf331996372|
ST109cc12e9f|CNe5b3d36162|
ST11cd8cb2fa|CN6a7549d4d5|
ST1285883fb4|CN536c1bd4a0|
ST158f5683f6|CNf9430dadc9|
ST1637aea10d|CNf9430dadc9|
ST1855b46470|CNf9f0b0e9c9|
ST196c6ca602|CN73262ad033|
ST1d89a2857a|CN0dce55eeab|
ST1ee61c8316|CNc8251d848e|
ST1ee61c8316|CNdc4280e42e|
ST1fb1cce30b|CN1add1ef309|
ST20d772811c|CN121e052239|
ST20d772811c|CN6c7fd4f47f|
ST20d772811c|CNe4597f9ec7|
ST281f628348|CN0dce55eeab|
ST281f628348|CN8aaf1313d0|
ST281f628348|CNc0f3698088|
ST29f68100b8|CN2f819c5685|
ST29f68100b8|CN6a7549d4d5|
ST2bc3f45fa9|CN3d60b2a09f|
ST2d4539f833|CN8290196468|
ST2da6a3833f|CN3eef87363e|
ST2da6a3833f|CNc0e0175a17|
ST2da6a3833f|CNf331996372|
ST2e82715910|CN3eef87363e|
ST2e82715910|CNf9430dadc9|
ST2ec7977a11|CN73262ad033|
ST311aebb1b9|CNf331996372|
ST31f66ea35c|CN2f819c5685|
ST31f66ea35c|CN32ac34429d|
ST31f66ea35c|CN536c1bd4a0|
ST31f66ea35c|CN57eed2248f|
ST31f66ea35c|CN6a7549d4d5|
ST31f66ea35c|CN75fa82dd35|
ST31f66ea35c|CNaf6b0d806b|
ST31f66ea35c|CNdc4280e42e|
ST31f66ea35c|CNff86d77767|
ST3245bf055a|CN8aaf1313d0|
ST3245bf055a|CNc0f3698088|
ST3427b5855e|CNe4597f9ec7|
ST38ed2092b2|CNb6ec6aa5ed|
ST39e50c14e8|CNf9430dadc9|
ST3d747dbfa2|CNd58f961090|
ST3dbfee7ba9|CN1add1ef309|
ST3fd6d760ad|CN094d03551d|
