# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story / db.remove_story).
StoryId|CanonicalEquipmentId
ST03e7564723|CE3be5df48e8
ST03e7564723|CE81f13ae22c
ST03e7564723|CEb8b0481f33
ST505bb98430|CE01a5e40268
ST505bb98430|CE1e23745dc8
ST505bb98430|CE33c1c32d50
ST505bb98430|CE53348f47ba
ST505bb98430|CE8c71e8eae4
ST505bb98430|CE9a1a44ab4a
ST505bb98430|CE9a9727427a
ST505bb98430|CEd68bea3760
ST54f892b1d7|CEf419f10d3d
ST772cf715b3|CE7158cadfe7
ST772cf715b3|CE9ffe2dd666
ST772cf715b3|CEe46ac53dc3
ST86dfdb07be|CE28b8f1e331
ST86dfdb07be|CE3ca21ac2b3
ST86dfdb07be|CE70af238e4a
ST86dfdb07be|CE870150b51e
ST86dfdb07be|CE8b7c89b70f
ST86dfdb07be|CE95a90b41bf
ST86dfdb07be|CEa0ee3c96d1
STbd94abe6ef|CEc78cb4a3de
STed8cfc1dc4|CE53734b15ff
STff37446185|CEc0c8ae774a
STff37446185|CEc2c766e85e
STff37446185|CEdea73e0d6c
