# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story / db.remove_story).
StoryId|CanonicalId|Fragment
ST0211a271b4|CN32ac34429d|
ST0211a271b4|CN6a7549d4d5|
ST0211a271b4|CN73262ad033|
ST0468e242c9|CN4872a2f0f8|
ST0468e242c9|CNf9430dadc9|
ST04c3f513d4|CN9debd7bf7b|
ST07aa0bc193|CNb6ce517916|
ST08e21b127b|CN1add1ef309|
ST0a55089688|CN6a7549d4d5|
ST0b323dee1e|CN7cac1c0104|
ST0b323dee1e|CN8290196468|
ST0b323dee1e|CN8e90acf753|
ST0b323dee1e|CN925a43d42d|
ST0b323dee1e|CN9e7e17ea4a|
ST0b323dee1e|CNb6ce517916|
ST0b323dee1e|CNc0e0175a17|
ST0c78c57e64|CN7ecb66603a|
ST0ca51b681f|CN080d9cf1ee|
ST0ca51b681f|CNf8bd44ef37|
ST0d02d8e412|CNc0f3698088|
ST0e6de35a1b|CN32ac34429d|
ST0e6de35a1b|CN73262ad033|
ST0fc5ae2840|CN27613a7538|
ST0fc5ae2840|CN3fb05a163b|
ST0fc5ae2840|CNf2ce6e465c|
ST109cc12e9f|CNe5b3d36162|
ST10ee66d268|CNb6ce517916|
ST11cd8cb2fa|CN6a7549d4d5|
ST11da26ad26|CN0dce55eeab|
ST11da26ad26|CN8aaf1313d0|
ST11da26ad26|CNc0f3698088|
ST12185cdc8a|CN15a4444bd9|
ST12185cdc8a|CN4872a2f0f8|
ST12185cdc8a|CNf9430dadc9|
ST158f5683f6|CNf9430dadc9|
ST1637aea10d|CNf9430dadc9|
ST180c72d2d2|CN15a4444bd9|
ST180c72d2d2|CN4872a2f0f8|
ST180c72d2d2|CNf9430dadc9|
ST188f7a8c5c|CNc0f3698088|
ST18d889960d|CN121e052239|
ST18d889960d|CNe4597f9ec7|
ST18d889960d|CNf331996372|
ST1a4a190c61|CN8aaf1313d0|
ST1a4a190c61|CNe5b3d36162|
ST1b34dc6837|CNdeac380ca2|
ST1c39bcd634|CN39da901bf4|
ST1c39bcd634|CN52881db6dd|
ST1cbbaf41fa|CN15a4444bd9|
ST1cbbaf41fa|CN1625be7b82|
ST1cbbaf41fa|CN2948f6254b|
ST1cbbaf41fa|CN4872a2f0f8|
ST1cbbaf41fa|CNf9430dadc9|
