# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story / db.remove_story).
StoryId|FaunaId
ST0532bb6c1d|FA2df821a03c
ST05f79ffa0b|FAd1f4884375
ST14c0dec3ef|FA0b949f26e2
ST14c0dec3ef|FA1f10fd1984
ST14c0dec3ef|FA2cf48e2ed0
ST14c0dec3ef|FA7565189539
ST14c0dec3ef|FA9f5e75235f
ST1b9464e42e|FA242e1cb3fe
ST2693762956|FA4a332a5def
ST2693762956|FAcf5a312db5
ST3fd6d760ad|FA517ffce87a
ST3fd6d760ad|FA686d22d695
ST3fd6d760ad|FA831c01548e
ST4d6211bfa7|FA83cf5b77b9
ST4d6211bfa7|FAb97e3a4422
ST505bb98430|FA358993be7c
ST52edf826d3|FA7527554de7
ST52edf826d3|FAecb6db7b25
ST5345dee53e|FA23e92dfba8
ST5345dee53e|FA433c117ce3
ST5345dee53e|FA66dedd6713
ST5345dee53e|FAacf174fa0e
ST5345dee53e|FAf408e962cb
ST8104c7d306|FAf408e962cb
ST8a72958805|FA358993be7c
ST9587349a7a|FA1c1a7ee868
ST963904b43c|FA23e92dfba8
ST963904b43c|FA41fc146724
ST963904b43c|FA433c117ce3
ST963904b43c|FA66dedd6713
ST963904b43c|FAacf174fa0e
STa2a7b22a54|FA1c1a7ee868
STa2a7b22a54|FA801ed8ccd4
STa743f66f37|FA10c43b7286
STa743f66f37|FA6818da133a
STa743f66f37|FA8d0592be3a
STa743f66f37|FAac25026755
STa743f66f37|FAb9bb162318
STc5eff9139a|FA0b949f26e2
STc5eff9139a|FA18c293d723
STc5eff9139a|FA1f10fd1984
STc5eff9139a|FA2cf48e2ed0
STc5eff9139a|FA3b6245dfdb
STc5eff9139a|FA7565189539
STc5eff9139a|FA9f5e75235f
STd7f10fc996|FA4895efe22d
STd7f10fc996|FAdae735d957
STdac44259c3|FAa5ab92bf98
STdac44259c3|FAd995691c9f
STdaec47f6c9|FA1767fef132
STdaec47f6c9|FA3e42b53c29
STdaec47f6c9|FAaee1610e81
STdaec47f6c9|FAcb3b255c72
STdaec47f6c9|FAd8efb2e4fe
STe145ac197d|FAd1b3a39136
STeff90d0798|FA8c85b7ba2f
