# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_weapons_csv.py
WeaponGameId|SetId|CardId|Rarity|ImageURL
WG77cb6a6a3d|1HP|1HP090|R|https://storage.googleapis.com/fabmaster/media/images/1HP090.width-450.png
WG77cb6a6a3d|ASR|ASR002|R|https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/ASR002.webp
WG77cb6a6a3d|CRU|CRU050|R|https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU050.png
WG77cb6a6a3d|CRU|CRU050|R|https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU050.png
WG77cb6a6a3d|IRA|IRA002|P|https://storage.googleapis.com/fabmaster/media/images/IRA002-P_03Jc6pa.width-450.png
WG77cb6a6a3d|TCC|TCC078|R|https://storage.googleapis.com/fabmaster/cardfaces/2023-TCC/EN/TCC078.png
WG3b33abdccf|1HP|1HP045|C|https://storage.googleapis.com/fabmaster/media/images/1HP045.width-450.png
WG3b33abdccf|BVO|BVO003|C|https://storage.googleapis.com/fabmaster/media/images/BVO3.width-450.png
WG3b33abdccf|CRU|CRU023|C|https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU023.png
WG3b33abdccf|CRU|CRU023|C|https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU023.png
WG3b33abdccf|FAB|FAB061|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB061.png
WG3b33abdccf|LGS|LGS002|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/LGS002.png
WG3b33abdccf|WTR|WTR040|T|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR040.png
WG3b33abdccf|WTR|WTR040|T|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR040.png
WG3b33abdccf|XXX|XXX006|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/XXX006.png
WGd2775947f7|1HP|1HP143|C|https://storage.googleapis.com/fabmaster/media/images/1HP143.width-450.png
WGd2775947f7|CRU|CRU078|C|https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU078.png
WGd2775947f7|CRU|CRU078|C|https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU078.png
WGd2775947f7|FAB|FAB062|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB062.png
WGd2775947f7|LGS|LGS004|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/LGS004.png
WGd2775947f7|MPW|MPW156|V|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW156-MV.webp
WGd2775947f7|MPW|MPW156|V|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/MPW156-MV_BACK.webp
WGd2775947f7|SDO|SDO002|C|https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/SDO002.webp
WGd2775947f7|TEA|TEA003|C|https://storage.googleapis.com/fabmaster/media/images/TEA3.width-450.png
WGd2775947f7|WTR|WTR115|T|https://storage.googleapis.com/fabmaster/cardfaces/2019-WTR/WTR115.png
WGd2775947f7|WTR|WTR115|T|https://storage.googleapis.com/fabmaster/cardfaces/2020-U-WTR/U-WTR115.png
WGd2775947f7|XXX|XXX007|P|https://storage.googleapis.com/fabmaster/cardfaces/promos/XXX007.png
WG12cb57428e|1HP|1HP091|C|https://storage.googleapis.com/fabmaster/media/images/1HP091.width-450.png
WG12cb57428e|1HP|1HP092|C|https://storage.googleapis.com/fabmaster/media/images/1HP092.width-450.png
WG12cb57428e|BEN|BEN002|C|https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-BEN/EN/BEN002.png
WG12cb57428e|CRU|CRU048|C|https://storage.googleapis.com/fabmaster/media/images/CRU48.width-450.png
WG12cb57428e|CRU|CRU048|C|https://storage.googleapis.com/fabmaster/media/images/U-CRU048.width-450.png
WG12cb57428e|CRU|CRU049|R|https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU049.png
WG12cb57428e|CRU|CRU049|R|https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU049.png
WG12cb57428e|KAT|KAT002|C|https://storage.googleapis.com/fabmaster/cardfaces/2023-OUT-KAT/EN/KAT002.png
WG12cb57428e|KSU|KSU003|C|https://storage.googleapis.com/fabmaster/media/images/KSU3.width-450.png
