# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story / db.remove_story).
StoryId|RegionId
ST0211a271b4|RG48803cad0f
ST0468e242c9|RG8e23bdd8e8
ST0468e242c9|RGb2d75101c8
ST04c3f513d4|RG8e23bdd8e8
ST08e21b127b|RG615666dae9
ST08e21b127b|RG8bc7b8bb1d
ST0a55089688|RG48803cad0f
ST0c78c57e64|RG05a2281d01
ST0d02d8e412|RG615666dae9
ST0d02d8e412|RG8bc7b8bb1d
ST0d1485ad71|RG615666dae9
ST0d1e381a50|RG58cc047b16
ST0db042536f|RG8ee35f0ddd
ST0e6de35a1b|RG48803cad0f
ST0fc5ae2840|RG6cd31a74b6
ST10ee66d268|RGb2d75101c8
ST12185cdc8a|RG8e23bdd8e8
ST158f5683f6|RG8e23bdd8e8
ST1637aea10d|RG8e23bdd8e8
ST180c72d2d2|RG8e23bdd8e8
ST1854100a81|RG615666dae9
ST1854100a81|RG8ee35f0ddd
ST188f7a8c5c|RG48803cad0f
ST188f7a8c5c|RG58cc047b16
ST188f7a8c5c|RG6cd31a74b6
ST188f7a8c5c|RG8bc7b8bb1d
ST188f7a8c5c|RG8e23bdd8e8
ST188f7a8c5c|RG8ee35f0ddd
ST188f7a8c5c|RGb2d75101c8
ST18d889960d|RG58cc047b16
ST18d889960d|RGb2d75101c8
ST1a4a190c61|RG615666dae9
ST1a4a190c61|RG8ee35f0ddd
ST1b34dc6837|RG615666dae9
ST1b34dc6837|RG8bc7b8bb1d
ST1b34dc6837|RG8ee35f0ddd
ST1b9464e42e|RG8ee35f0ddd
ST1c39bcd634|RG615666dae9
ST1c39bcd634|RG6cd31a74b6
ST1c39bcd634|RG8ee35f0ddd
ST1cbbaf41fa|RG8e23bdd8e8
ST1cbbaf41fa|RGb2d75101c8
ST1d5451c1fc|RG48803cad0f
ST1d5451c1fc|RG58cc047b16
ST1d5451c1fc|RG615666dae9
ST1d5451c1fc|RG8ee35f0ddd
ST1ea20dbf62|RG05a2281d01
ST1ed9707fdd|RG8bc7b8bb1d
ST1ee61c8316|RG48803cad0f
ST205c4455dd|RG58cc047b16
ST205c4455dd|RG6cd31a74b6
ST205c4455dd|RGb2d75101c8
ST20d772811c|RG58cc047b16
ST2120fb131f|RG615666dae9
ST2120fb131f|RG8bc7b8bb1d
ST2120fb131f|RG8e23bdd8e8
ST2120fb131f|RGb2d75101c8
ST230756b4f0|RGb2d75101c8
ST23bffbf151|RG615666dae9
ST23bffbf151|RG8bc7b8bb1d
ST2693762956|RG05a2281d01
ST27d64f01a1|RG8ee35f0ddd
ST2bbd4e0574|RG05a2281d01
ST2ec7977a11|RG48803cad0f
ST311aebb1b9|RG58cc047b16
ST3214f25ce6|RG8ee35f0ddd
ST345111398c|RG58cc047b16
ST345111398c|RGb2d75101c8
ST35ba2102ce|RG615666dae9
ST37b0bbc374|RG6cd31a74b6
ST37f229c387|RG615666dae9
ST37f229c387|RG8bc7b8bb1d
ST385a1571b9|RG615666dae9
ST385a1571b9|RG8bc7b8bb1d
ST3867d6ca7b|RG6cd31a74b6
ST38c0ad8b73|RG8e23bdd8e8
ST38ed2092b2|RG8ee35f0ddd
ST39dc290aa3|RG58cc047b16
ST39e50c14e8|RG8e23bdd8e8
ST3ac42a6b1f|RG6cd31a74b6
ST3ac9e7493a|RG48803cad0f
ST3ac9e7493a|RG615666dae9
ST3ac9e7493a|RG8e23bdd8e8
ST3d747dbfa2|RG58cc047b16
ST3d747dbfa2|RG615666dae9
ST3d747dbfa2|RG8bc7b8bb1d
ST3dbfee7ba9|RG615666dae9
ST3dbfee7ba9|RG8bc7b8bb1d
ST40216e8a9d|RGb2d75101c8
ST4108687623|RG615666dae9
ST4108687623|RG8e23bdd8e8
ST42b55b9aa1|RG8e23bdd8e8
ST479bbad163|RG48803cad0f
ST47ebecbd43|RG48803cad0f
ST48e7e51af8|RG6cd31a74b6
ST4a1017738f|RG58cc047b16
ST4bd2ef0e2d|RG615666dae9
ST4bd2ef0e2d|RG8ee35f0ddd
ST5155b9f924|RG8e23bdd8e8
ST51b4124cd7|RG615666dae9
ST51b4124cd7|RG8bc7b8bb1d
ST51b4124cd7|RG8e23bdd8e8
ST51ee74ec70|RG615666dae9
ST521e4ec0cf|RG615666dae9
ST521e4ec0cf|RG8bc7b8bb1d
ST521e4ec0cf|RG8ee35f0ddd
ST5263bec686|RG58cc047b16
ST5263bec686|RGb2d75101c8
ST52f9f21c24|RG615666dae9
ST5386953884|RG48803cad0f
ST54662de240|RG8bc7b8bb1d
ST54be02bbbd|RG6cd31a74b6
ST5558ee7c4c|RG615666dae9
ST5558ee7c4c|RG8bc7b8bb1d
ST5558ee7c4c|RG8e23bdd8e8
ST5558ee7c4c|RGb2d75101c8
ST5761df53d9|RG8e23bdd8e8
ST57bb94b395|RG48803cad0f
ST58ef00576d|RG48803cad0f
ST58ef00576d|RG58cc047b16
ST58ef00576d|RG6cd31a74b6
ST58ef00576d|RG8ee35f0ddd
ST59c70f6bb8|RG05a2281d01
ST5a25831c5f|RG615666dae9
ST5a25831c5f|RG8bc7b8bb1d
ST5a943c9022|RG48803cad0f
ST5ad7002819|RG8e23bdd8e8
ST5b1cdbca69|RG6cd31a74b6
ST5b3d2e1aee|RGb2d75101c8
ST5b5463e8e0|RG615666dae9
ST5d10e16a7a|RG6cd31a74b6
ST63d0a560ff|RG48803cad0f
ST63ef037729|RG48803cad0f
ST63ef037729|RG58cc047b16
ST63ef037729|RG8bc7b8bb1d
ST63ef037729|RG8e23bdd8e8
ST63ef037729|RG8ee35f0ddd
ST63ef037729|RGb2d75101c8
ST65f41cd3ae|RG615666dae9
ST65f41cd3ae|RG8bc7b8bb1d
ST67972caf4f|RG58cc047b16
ST680475ab8e|RGb2d75101c8
ST6924e49909|RG8e23bdd8e8
ST6955140ac6|RG48803cad0f
ST6955140ac6|RGb2d75101c8
ST6cb4031a65|RG48803cad0f
ST6cb4031a65|RG58cc047b16
ST6cb4031a65|RG615666dae9
ST6cb4031a65|RG6cd31a74b6
ST6cb4031a65|RG8e23bdd8e8
ST6cb4031a65|RG8ee35f0ddd
ST70ba023518|RG48803cad0f
ST71d7052c23|RG05a2281d01
ST72fbe0466a|RG58cc047b16
ST72fbe0466a|RG8e23bdd8e8
ST72fbe0466a|RGb2d75101c8
